Dataset:,,27010,27020,27030,27040,28010,28020
Ion,Wavelength,Flux,,,,,
S II,1253.811,3.39E-16,6.88E-16,5.71E-16,3.26E-16,2.67E-16,-2.46E-16
,1259.519,7.57E-16,9.34E-16,9.43E-16,8.93E-16,8.47E-16,9.32E-17
Si II ,1260.417,1.16E-15,1.29E-15,1.17E-15,1.19E-15,1.31E-15,2.37E-16
,1264.737,2.00E-15,2.22E-15,2.32E-15,2.20E-15,3.00E-15,5.46E-16
,1265.001,2.00E-15,2.22E-15,2.32E-15,2.20E-15,3.00E-15,5.46E-16
,1304.369,9.79E-15,1.00E-14,1.00E-14,1.10E-14,1.05E-14,8.06E-15
,1526.706,2.87E-15,3.51E-15,2.68E-15,4.04E-15,3.28E-15,2.78E-15
,1533.43,2.91E-15,3.58E-15,3.89E-15,4.76E-15,3.79E-15,3.21E-15
Si III,1294.543,1.15E-15,1.76E-15,1.76E-15,1.83E-15,1.77E-15,6.19E-16
,1296.726,1.85E-15,2.49E-15,2.43E-15,2.89E-15,2.68E-15,1.60E-15
,1298.892,8.48E-15,9.80E-15,1.04E-14,1.14E-14,1.02E-14,6.57E-15
,1298.944,8.48E-15,9.80E-15,1.04E-14,1.14E-14,1.02E-14,6.57E-15
,1301.147,8.26E-15,8.59E-15,8.90E-15,9.87E-15,8.85E-15,6.93E-15
,1303.323,9.78E-15,9.92E-15,1.00E-14,1.11E-14,1.04E-14,8.10E-15
C II ,1323.907,1.05E-16,6.32E-16,5.20E-16,2.96E-16,7.31E-17,-7.95E-16
,1323.952,1.05E-16,6.32E-16,5.20E-16,2.96E-16,7.31E-17,-7.95E-16
,1334.524,1.97E-14,1.98E-14,2.12E-14,2.56E-14,2.48E-14,1.90E-14
,1335.709,1.96E-14,1.97E-14,2.12E-14,2.55E-14,2.46E-14,1.88E-14
Fe XXI,1354.08,2.53E-15,2.56E-15,2.10E-15,2.40E-15,2.31E-15,1.67E-15
O V ,1371.292,3.98E-16,7.51E-16,7.13E-16,5.27E-16,6.20E-16,-1.87E-16
Si IV,1393.755,9.99E-15,1.09E-14,1.03E-14,1.42E-14,1.50E-14,1.11E-14
,1402.77,7.14E-15,6.99E-15,6.80E-15,9.08E-15,9.75E-15,6.39E-15
O IV,1399.779,7.76E-15,7.25E-15,8.63E-15,1.15E-14,1.14E-14,7.70E-15
,1401.171,7.16E-15,6.88E-15,6.74E-15,9.12E-15,9.87E-15,6.48E-15
,1407.383,4.03E-15,4.11E-15,4.00E-15,5.23E-15,6.35E-15,3.96E-15
S IV,1404.818,6.93E-15,6.81E-15,6.86E-15,9.11E-15,9.51E-15,6.19E-15
,1406.016,6.55E-15,6.36E-15,6.48E-15,8.47E-15,9.10E-15,5.86E-15
N IV,1486.496,2.35E-15,2.25E-15,2.38E-15,2.34E-15,2.67E-15,1.86E-15
C IV ,1548.201,4.46E-14,4.15E-14,4.35E-14,6.81E-14,6.49E-14,4.73E-14
,1550.772,4.42E-14,4.13E-14,4.37E-14,6.83E-14,6.56E-14,4.65E-14
 O III,1666.142,7.10E-15,7.32E-15,6.00E-15,7.04E-15,6.56E-15,5.39E-15
